ProductName,Version,OEM,SeverityLevel,Vulnerability,MitigationStrategy,PublishedDate,UniqueID
Security Bulletin: NVIDIA DGX-1 and NVIDIA DGX-2 Systems - July 2021,N/A,NVIDIA,High,CVE‑2021‑0144,https://nvidia.custhelp.com/app/answers/detail/a_id/5213,22 Jul 2021,22 Jul 2021
Security Bulletin: NVIDIA GPU Display Drivers - July 2021,N/A,NVIDIA,High,"CVE-2021-1089, CVE-2021-1090, CVE-2021-1091, CVE-2021-1092, CVE-2021-1093, CVE-2021-1094, CVE-2021-1095, CVE-2021-1096, CVE-2021-1097, CVE-2021-1098, CVE-2021-1099, CVE-2021-1100, CVE-2021-1101, CVE-2021-1102, CVE-2021-1103",https://nvidia.custhelp.com/app/answers/detail/a_id/5211,20 Jul 2021,20 Jul 2021
Security Bulletin: NVIDIA GeForce Experience - June 2021,N/A,NVIDIA,High,CVE-2021-1073,https://nvidia.custhelp.com/app/answers/detail/a_id/5199,24 Jun 2021,24 Jun 2021
"Security Bulletin: NVIDIA Jetson AGX Xavier Series, Jetson Xavier NX, Jetson TX1, Jetson TX2 Series (including Jetson TX2 NX), and Jetson Nano (including Jetson Nano 2GB) - June 2021",N/A,NVIDIA,High,"CVE-2021-34372, CVE-2021-34373, CVE-2021-34374, CVE-2021-34375, CVE-2021-34376, CVE-2021-34377, CVE-2021-34378, CVE-2021-34379, CVE-2021-34380, CVE-2021-34381, CVE-2021-34382, CVE-2021-34383, CVE-2021-34384, CVE-2021-34385, CVE-2021-34386, CVE-2021-34387, CVE-2021-34388, CVE-2021-34389, CVE-2021-34390, CVE-2021-34391, CVE-2021-34392, CVE-2021-34393, CVE-2021-34394, CVE-2021-34395, CVE-2021-34396, CVE-2021-34397",https://nvidia.custhelp.com/app/answers/detail/a_id/5205,18 Jun 2021,15 Jul 2021
Security Bulletin: NVIDIA GPU Display Driver - April 2021,N/A,NVIDIA,High,"CVE-2021-1074, CVE-2021-1075, CVE-2021-1076, CVE-2021-1077, CVE-2021-1078, CVE-2021-1080, CVE-2021-1081, CVE-2021-1082, CVE-2021-1083, CVE-2021-1084, CVE-2021-1085, CVE-2021-1086, CVE-2021-1087",https://nvidia.custhelp.com/app/answers/detail/a_id/5172,19 Apr 2021,27 May 2021
Security Bulletin: NVIDIA GeForce Experience - April 2021,N/A,NVIDIA,Medium,CVE-2021-1079,https://nvidia.custhelp.com/app/answers/detail/a_id/5184,16 Apr 2021,14 May 2021
Security Bulletin: NVIDIA GeForce Experience - February 2021,N/A,NVIDIA,Medium,CVE-2021-1072,https://nvidia.custhelp.com/app/answers/detail/a_id/5155,04 Feb 2021,04 Feb 2021
"Security Bulletin: NVIDIA Jetson AGX Xavier Series, Jetson Xavier NX, TX1, TX2, Nano and Nano 2GB - January 2021",N/A,NVIDIA,High,"CVE-2021-1069, CVE-2021-1070, CVE-2021-1071",https://nvidia.custhelp.com/app/answers/detail/a_id/5147,01 Jan 2021,01 Jan 2021
Security Bulletin: NVIDIA SHIELD TV - January 2021,N/A,NVIDIA,High,"CVE-2021-1067, CVE-2021-1068, CVE-2021-1069",https://nvidia.custhelp.com/app/answers/detail/a_id/5148,19 Jan 2021,19 Jan 2021
Security Bulletin: NVIDIA GPU Display Driver - January 2021,N/A,NVIDIA,High,"CVE-2021-1051, CVE-2021-1052, CVE-2021-1053, CVE-2021-1054, CVE-2021-1055, CVE-2021-1056, CVE-2021-1057, CVE-2021-1058, CVE-2021-1059, CVE-2021-1060, CVE-2021-1061, CVE-2021-1062, CVE-2021-1063, CVE-2021-1064, CVE-2021-1065, CVE-2021-1066",https://nvidia.custhelp.com/app/answers/detail/a_id/5142,07 Jan 2021,23 Jun 2021
Security Bulletin: NVIDIA GeForce NOW - November 2020,N/A,NVIDIA,High,CVE-2020-5992,https://nvidia.custhelp.com/app/answers/detail/a_id/5096,10 Nov 2020,10 Nov 2020
